,Difficulty,ExerciseName,MuscleGroup,Reps,Score,Set
109,intermediate,Landmine twist,abdominals,23,0.25,4
110,intermediate,Landmine twist,abdominals,24,0.2,4
111,intermediate,Landmine twist,abdominals,25,0.15,4
112,intermediate,Landmine twist,abdominals,26,0.1,4
113,intermediate,Landmine twist,abdominals,27,0.05,4
114,intermediate,Landmine twist,abdominals,28,-5.55E-17,4
115,intermediate,Landmine twist,abdominals,29,-0.05,4
116,intermediate,Landmine twist,abdominals,1,0.05,5
117,intermediate,Landmine twist,abdominals,2,0.1,5
118,intermediate,Landmine twist,abdominals,3,0.15,5
119,intermediate,Landmine twist,abdominals,4,0.2,5
120,intermediate,Landmine twist,abdominals,5,0.25,5
121,intermediate,Landmine twist,abdominals,6,0.3,5
122,intermediate,Landmine twist,abdominals,7,0.35,5
123,intermediate,Landmine twist,abdominals,8,0.4,5
124,intermediate,Landmine twist,abdominals,9,0.45,5
125,intermediate,Landmine twist,abdominals,10,0.5,5
126,intermediate,Landmine twist,abdominals,11,0.55,5
127,intermediate,Landmine twist,abdominals,12,0.6,5
128,intermediate,Landmine twist,abdominals,13,0.55,5
129,intermediate,Landmine twist,abdominals,14,0.5,5
130,intermediate,Landmine twist,abdominals,15,0.45,5
131,intermediate,Landmine twist,abdominals,16,0.4,5
132,intermediate,Landmine twist,abdominals,17,0.35,5
133,intermediate,Landmine twist,abdominals,18,0.3,5
134,intermediate,Landmine twist,abdominals,19,0.25,5
135,intermediate,Landmine twist,abdominals,20,0.2,5
136,intermediate,Landmine twist,abdominals,21,0.15,5
137,intermediate,Landmine twist,abdominals,22,0.1,5
138,intermediate,Landmine twist,abdominals,23,0.05,5
139,intermediate,Landmine twist,abdominals,24,0,5
140,intermediate,Landmine twist,abdominals,25,-0.05,5
141,intermediate,Landmine twist,abdominals,26,-0.1,5
142,intermediate,Landmine twist,abdominals,27,-0.15,5
143,intermediate,Landmine twist,abdominals,28,-0.2,5
144,intermediate,Landmine twist,abdominals,29,-0.25,5
145,intermediate,Elbow plank,abdominals,1,0.05,1
146,intermediate,Elbow plank,abdominals,2,0.1,1
147,intermediate,Elbow plank,abdominals,3,0.15,1
148,intermediate,Elbow plank,abdominals,4,0.2,1
149,intermediate,Elbow plank,abdominals,5,0.25,1
150,intermediate,Elbow plank,abdominals,6,0.3,1
151,intermediate,Elbow plank,abdominals,7,0.35,1
152,intermediate,Elbow plank,abdominals,8,0.4,1
153,intermediate,Elbow plank,abdominals,9,0.45,1
154,intermediate,Elbow plank,abdominals,10,0.5,1
155,intermediate,Elbow plank,abdominals,11,0.55,1
156,intermediate,Elbow plank,abdominals,12,0.6,1
157,intermediate,Elbow plank,abdominals,13,0.55,1
158,intermediate,Elbow plank,abdominals,14,0.5,1
159,intermediate,Elbow plank,abdominals,15,0.45,1
160,intermediate,Elbow plank,abdominals,16,0.4,1
161,intermediate,Elbow plank,abdominals,17,0.35,1
162,intermediate,Elbow plank,abdominals,18,0.3,1
163,intermediate,Elbow plank,abdominals,19,0.25,1
164,intermediate,Elbow plank,abdominals,20,0.2,1
165,intermediate,Elbow plank,abdominals,21,0.15,1
166,intermediate,Elbow plank,abdominals,22,0.1,1
167,intermediate,Elbow plank,abdominals,23,0.05,1
168,intermediate,Elbow plank,abdominals,24,0,1
169,intermediate,Elbow plank,abdominals,25,-0.05,1
170,intermediate,Elbow plank,abdominals,26,-0.1,1
171,intermediate,Elbow plank,abdominals,27,-0.15,1
172,intermediate,Elbow plank,abdominals,28,-0.2,1
173,intermediate,Elbow plank,abdominals,29,-0.25,1
174,intermediate,Elbow plank,abdominals,1,0.25,2
175,intermediate,Elbow plank,abdominals,2,0.3,2
176,intermediate,Elbow plank,abdominals,3,0.35,2
177,intermediate,Elbow plank,abdominals,4,0.4,2
178,intermediate,Elbow plank,abdominals,5,0.45,2
179,intermediate,Elbow plank,abdominals,6,0.5,2
180,intermediate,Elbow plank,abdominals,7,0.55,2
181,intermediate,Elbow plank,abdominals,8,0.6,2
182,intermediate,Elbow plank,abdominals,9,0.65,2
183,intermediate,Elbow plank,abdominals,10,0.7,2
184,intermediate,Elbow plank,abdominals,11,0.75,2
185,intermediate,Elbow plank,abdominals,12,0.8,2
186,intermediate,Elbow plank,abdominals,13,0.75,2
187,intermediate,Elbow plank,abdominals,14,0.7,2
188,intermediate,Elbow plank,abdominals,15,0.65,2
189,intermediate,Elbow plank,abdominals,16,0.6,2
190,intermediate,Elbow plank,abdominals,17,0.55,2
191,intermediate,Elbow plank,abdominals,18,0.5,2
192,intermediate,Elbow plank,abdominals,19,0.45,2
193,intermediate,Elbow plank,abdominals,20,0.4,2
194,intermediate,Elbow plank,abdominals,21,0.35,2
195,intermediate,Elbow plank,abdominals,22,0.3,2
196,intermediate,Elbow plank,abdominals,23,0.25,2
197,intermediate,Elbow plank,abdominals,24,0.2,2
198,intermediate,Elbow plank,abdominals,25,0.15,2
199,intermediate,Elbow plank,abdominals,26,0.1,2
200,intermediate,Elbow plank,abdominals,27,0.05,2
201,intermediate,Elbow plank,abdominals,28,-5.55E-17,2
202,intermediate,Elbow plank,abdominals,29,-0.05,2
203,intermediate,Elbow plank,abdominals,1,0.45,3
204,intermediate,Elbow plank,abdominals,2,0.5,3
205,intermediate,Elbow plank,abdominals,3,0.55,3
206,intermediate,Elbow plank,abdominals,4,0.6,3
207,intermediate,Elbow plank,abdominals,5,0.65,3
208,intermediate,Elbow plank,abdominals,6,0.7,3
209,intermediate,Elbow plank,abdominals,7,0.75,3
210,intermediate,Elbow plank,abdominals,8,0.8,3
211,intermediate,Elbow plank,abdominals,9,0.85,3
212,intermediate,Elbow plank,abdominals,10,0.9,3
213,intermediate,Elbow plank,abdominals,11,0.95,3
214,intermediate,Elbow plank,abdominals,12,1,3
215,intermediate,Elbow plank,abdominals,13,0.95,3
216,intermediate,Elbow plank,abdominals,14,0.9,3
217,intermediate,Elbow plank,abdominals,15,0.85,3
218,intermediate,Elbow plank,abdominals,16,0.8,3
219,intermediate,Elbow plank,abdominals,17,0.75,3
220,intermediate,Elbow plank,abdominals,18,0.7,3
221,intermediate,Elbow plank,abdominals,19,0.65,3
222,intermediate,Elbow plank,abdominals,20,0.6,3
223,intermediate,Elbow plank,abdominals,21,0.55,3
224,intermediate,Elbow plank,abdominals,22,0.5,3
225,intermediate,Elbow plank,abdominals,23,0.45,3
226,intermediate,Elbow plank,abdominals,24,0.4,3
227,intermediate,Elbow plank,abdominals,25,0.35,3
228,intermediate,Elbow plank,abdominals,26,0.3,3
229,intermediate,Elbow plank,abdominals,27,0.25,3
230,intermediate,Elbow plank,abdominals,28,0.2,3
231,intermediate,Elbow plank,abdominals,29,0.15,3
232,intermediate,Elbow plank,abdominals,1,0.25,4
233,intermediate,Elbow plank,abdominals,2,0.3,4
234,intermediate,Elbow plank,abdominals,3,0.35,4
235,intermediate,Elbow plank,abdominals,4,0.4,4
236,intermediate,Elbow plank,abdominals,5,0.45,4
237,intermediate,Elbow plank,abdominals,6,0.5,4
238,intermediate,Elbow plank,abdominals,7,0.55,4
239,intermediate,Elbow plank,abdominals,8,0.6,4
240,intermediate,Elbow plank,abdominals,9,0.65,4
241,intermediate,Elbow plank,abdominals,10,0.7,4
242,intermediate,Elbow plank,abdominals,11,0.75,4
243,intermediate,Elbow plank,abdominals,12,0.8,4
244,intermediate,Elbow plank,abdominals,13,0.75,4
245,intermediate,Elbow plank,abdominals,14,0.7,4
246,intermediate,Elbow plank,abdominals,15,0.65,4
247,intermediate,Elbow plank,abdominals,16,0.6,4
248,intermediate,Elbow plank,abdominals,17,0.55,4
249,intermediate,Elbow plank,abdominals,18,0.5,4
250,intermediate,Elbow plank,abdominals,19,0.45,4
251,intermediate,Elbow plank,abdominals,20,0.4,4
252,intermediate,Elbow plank,abdominals,21,0.35,4
253,intermediate,Elbow plank,abdominals,22,0.3,4
254,intermediate,Elbow plank,abdominals,23,0.25,4
255,intermediate,Elbow plank,abdominals,24,0.2,4
256,intermediate,Elbow plank,abdominals,25,0.15,4
257,intermediate,Elbow plank,abdominals,26,0.1,4
258,intermediate,Elbow plank,abdominals,27,0.05,4
259,intermediate,Elbow plank,abdominals,28,-5.55E-17,4
260,intermediate,Elbow plank,abdominals,29,-0.05,4
261,intermediate,Elbow plank,abdominals,1,0.05,5
262,intermediate,Elbow plank,abdominals,2,0.1,5
263,intermediate,Elbow plank,abdominals,3,0.15,5
264,intermediate,Elbow plank,abdominals,4,0.2,5
265,intermediate,Elbow plank,abdominals,5,0.25,5
266,intermediate,Elbow plank,abdominals,6,0.3,5
267,intermediate,Elbow plank,abdominals,7,0.35,5
268,intermediate,Elbow plank,abdominals,8,0.4,5
269,intermediate,Elbow plank,abdominals,9,0.45,5
270,intermediate,Elbow plank,abdominals,10,0.5,5
271,intermediate,Elbow plank,abdominals,11,0.55,5
272,intermediate,Elbow plank,abdominals,12,0.6,5
273,intermediate,Elbow plank,abdominals,13,0.55,5
274,intermediate,Elbow plank,abdominals,14,0.5,5
275,intermediate,Elbow plank,abdominals,15,0.45,5
276,intermediate,Elbow plank,abdominals,16,0.4,5
277,intermediate,Elbow plank,abdominals,17,0.35,5
278,intermediate,Elbow plank,abdominals,18,0.3,5
279,intermediate,Elbow plank,abdominals,19,0.25,5
280,intermediate,Elbow plank,abdominals,20,0.2,5
281,intermediate,Elbow plank,abdominals,21,0.15,5
282,intermediate,Elbow plank,abdominals,22,0.1,5
283,intermediate,Elbow plank,abdominals,23,0.05,5
284,intermediate,Elbow plank,abdominals,24,0,5
285,intermediate,Elbow plank,abdominals,25,-0.05,5
286,intermediate,Elbow plank,abdominals,26,-0.1,5
287,intermediate,Elbow plank,abdominals,27,-0.15,5
288,intermediate,Elbow plank,abdominals,28,-0.2,5
289,intermediate,Elbow plank,abdominals,29,-0.25,5
290,intermediate,Bottoms Up,abdominals,1,0.05,1
291,intermediate,Bottoms Up,abdominals,2,0.1,1
292,intermediate,Bottoms Up,abdominals,3,0.15,1
293,intermediate,Bottoms Up,abdominals,4,0.2,1
294,intermediate,Bottoms Up,abdominals,5,0.25,1
295,intermediate,Bottoms Up,abdominals,6,0.3,1
296,intermediate,Bottoms Up,abdominals,7,0.35,1
297,intermediate,Bottoms Up,abdominals,8,0.4,1
298,intermediate,Bottoms Up,abdominals,9,0.45,1
299,intermediate,Bottoms Up,abdominals,10,0.5,1
300,intermediate,Bottoms Up,abdominals,11,0.55,1
301,intermediate,Bottoms Up,abdominals,12,0.6,1
302,intermediate,Bottoms Up,abdominals,13,0.55,1
303,intermediate,Bottoms Up,abdominals,14,0.5,1
304,intermediate,Bottoms Up,abdominals,15,0.45,1
305,intermediate,Bottoms Up,abdominals,16,0.4,1
306,intermediate,Bottoms Up,abdominals,17,0.35,1
307,intermediate,Bottoms Up,abdominals,18,0.3,1
308,intermediate,Bottoms Up,abdominals,19,0.25,1
309,intermediate,Bottoms Up,abdominals,20,0.2,1
310,intermediate,Bottoms Up,abdominals,21,0.15,1
311,intermediate,Bottoms Up,abdominals,22,0.1,1
312,intermediate,Bottoms Up,abdominals,23,0.05,1
313,intermediate,Bottoms Up,abdominals,24,0,1
314,intermediate,Bottoms Up,abdominals,25,-0.05,1
315,intermediate,Bottoms Up,abdominals,26,-0.1,1
316,intermediate,Bottoms Up,abdominals,27,-0.15,1
317,intermediate,Bottoms Up,abdominals,28,-0.2,1
318,intermediate,Bottoms Up,abdominals,29,-0.25,1
319,intermediate,Bottoms Up,abdominals,1,0.25,2
320,intermediate,Bottoms Up,abdominals,2,0.3,2
321,intermediate,Bottoms Up,abdominals,3,0.35,2
322,intermediate,Bottoms Up,abdominals,4,0.4,2
323,intermediate,Bottoms Up,abdominals,5,0.45,2
324,intermediate,Bottoms Up,abdominals,6,0.5,2
325,intermediate,Bottoms Up,abdominals,7,0.55,2
326,intermediate,Bottoms Up,abdominals,8,0.6,2
327,intermediate,Bottoms Up,abdominals,9,0.65,2
328,intermediate,Bottoms Up,abdominals,10,0.7,2
329,intermediate,Bottoms Up,abdominals,11,0.75,2
330,intermediate,Bottoms Up,abdominals,12,0.8,2
331,intermediate,Bottoms Up,abdominals,13,0.75,2
332,intermediate,Bottoms Up,abdominals,14,0.7,2
333,intermediate,Bottoms Up,abdominals,15,0.65,2
334,intermediate,Bottoms Up,abdominals,16,0.6,2
335,intermediate,Bottoms Up,abdominals,17,0.55,2
336,intermediate,Bottoms Up,abdominals,18,0.5,2
337,intermediate,Bottoms Up,abdominals,19,0.45,2
338,intermediate,Bottoms Up,abdominals,20,0.4,2
339,intermediate,Bottoms Up,abdominals,21,0.35,2
340,intermediate,Bottoms Up,abdominals,22,0.3,2
341,intermediate,Bottoms Up,abdominals,23,0.25,2
342,intermediate,Bottoms Up,abdominals,24,0.2,2
343,intermediate,Bottoms Up,abdominals,25,0.15,2
344,intermediate,Bottoms Up,abdominals,26,0.1,2
345,intermediate,Bottoms Up,abdominals,27,0.05,2
346,intermediate,Bottoms Up,abdominals,28,-5.55E-17,2
347,intermediate,Bottoms Up,abdominals,29,-0.05,2
348,intermediate,Bottoms Up,abdominals,1,0.45,3
349,intermediate,Bottoms Up,abdominals,2,0.5,3
350,intermediate,Bottoms Up,abdominals,3,0.55,3
351,intermediate,Bottoms Up,abdominals,4,0.6,3
352,intermediate,Bottoms Up,abdominals,5,0.65,3
353,intermediate,Bottoms Up,abdominals,6,0.7,3
354,intermediate,Bottoms Up,abdominals,7,0.75,3
355,intermediate,Bottoms Up,abdominals,8,0.8,3
356,intermediate,Bottoms Up,abdominals,9,0.85,3
357,intermediate,Bottoms Up,abdominals,10,0.9,3
358,intermediate,Bottoms Up,abdominals,11,0.95,3
359,intermediate,Bottoms Up,abdominals,12,1,3
360,intermediate,Bottoms Up,abdominals,13,0.95,3
361,intermediate,Bottoms Up,abdominals,14,0.9,3
362,intermediate,Bottoms Up,abdominals,15,0.85,3
363,intermediate,Bottoms Up,abdominals,16,0.8,3
364,intermediate,Bottoms Up,abdominals,17,0.75,3
365,intermediate,Bottoms Up,abdominals,18,0.7,3
366,intermediate,Bottoms Up,abdominals,19,0.65,3
367,intermediate,Bottoms Up,abdominals,20,0.6,3
368,intermediate,Bottoms Up,abdominals,21,0.55,3
369,intermediate,Bottoms Up,abdominals,22,0.5,3
370,intermediate,Bottoms Up,abdominals,23,0.45,3
371,intermediate,Bottoms Up,abdominals,24,0.4,3
372,intermediate,Bottoms Up,abdominals,25,0.35,3
373,intermediate,Bottoms Up,abdominals,26,0.3,3
374,intermediate,Bottoms Up,abdominals,27,0.25,3
375,intermediate,Bottoms Up,abdominals,28,0.2,3
376,intermediate,Bottoms Up,abdominals,29,0.15,3
377,intermediate,Bottoms Up,abdominals,1,0.25,4
378,intermediate,Bottoms Up,abdominals,2,0.3,4
379,intermediate,Bottoms Up,abdominals,3,0.35,4
380,intermediate,Bottoms Up,abdominals,4,0.4,4
381,intermediate,Bottoms Up,abdominals,5,0.45,4
382,intermediate,Bottoms Up,abdominals,6,0.5,4
383,intermediate,Bottoms Up,abdominals,7,0.55,4
384,intermediate,Bottoms Up,abdominals,8,0.6,4
385,intermediate,Bottoms Up,abdominals,9,0.65,4
386,intermediate,Bottoms Up,abdominals,10,0.7,4
387,intermediate,Bottoms Up,abdominals,11,0.75,4
388,intermediate,Bottoms Up,abdominals,12,0.8,4
389,intermediate,Bottoms Up,abdominals,13,0.75,4
390,intermediate,Bottoms Up,abdominals,14,0.7,4
391,intermediate,Bottoms Up,abdominals,15,0.65,4
392,intermediate,Bottoms Up,abdominals,16,0.6,4
393,intermediate,Bottoms Up,abdominals,17,0.55,4
394,intermediate,Bottoms Up,abdominals,18,0.5,4
395,intermediate,Bottoms Up,abdominals,19,0.45,4
396,intermediate,Bottoms Up,abdominals,20,0.4,4
397,intermediate,Bottoms Up,abdominals,21,0.35,4
398,intermediate,Bottoms Up,abdominals,22,0.3,4
399,intermediate,Bottoms Up,abdominals,23,0.25,4
400,intermediate,Bottoms Up,abdominals,24,0.2,4
401,intermediate,Bottoms Up,abdominals,25,0.15,4
402,intermediate,Bottoms Up,abdominals,26,0.1,4
403,intermediate,Bottoms Up,abdominals,27,0.05,4
404,intermediate,Bottoms Up,abdominals,28,-5.55E-17,4
405,intermediate,Bottoms Up,abdominals,29,-0.05,4
406,intermediate,Bottoms Up,abdominals,1,0.05,5
407,intermediate,Bottoms Up,abdominals,2,0.1,5
408,intermediate,Bottoms Up,abdominals,3,0.15,5
409,intermediate,Bottoms Up,abdominals,4,0.2,5
410,intermediate,Bottoms Up,abdominals,5,0.25,5
411,intermediate,Bottoms Up,abdominals,6,0.3,5
412,intermediate,Bottoms Up,abdominals,7,0.35,5
413,intermediate,Bottoms Up,abdominals,8,0.4,5
414,intermediate,Bottoms Up,abdominals,9,0.45,5
415,intermediate,Bottoms Up,abdominals,10,0.5,5
416,intermediate,Bottoms Up,abdominals,11,0.55,5
417,intermediate,Bottoms Up,abdominals,12,0.6,5
418,intermediate,Bottoms Up,abdominals,13,0.55,5
419,intermediate,Bottoms Up,abdominals,14,0.5,5
420,intermediate,Bottoms Up,abdominals,15,0.45,5
421,intermediate,Bottoms Up,abdominals,16,0.4,5
422,intermediate,Bottoms Up,abdominals,17,0.35,5
423,intermediate,Bottoms Up,abdominals,18,0.3,5
424,intermediate,Bottoms Up,abdominals,19,0.25,5
425,intermediate,Bottoms Up,abdominals,20,0.2,5
426,intermediate,Bottoms Up,abdominals,21,0.15,5
427,intermediate,Bottoms Up,abdominals,22,0.1,5
428,intermediate,Bottoms Up,abdominals,23,0.05,5
429,intermediate,Bottoms Up,abdominals,24,0,5
430,intermediate,Bottoms Up,abdominals,25,-0.05,5
431,intermediate,Bottoms Up,abdominals,26,-0.1,5
432,intermediate,Bottoms Up,abdominals,27,-0.15,5
433,intermediate,Bottoms Up,abdominals,28,-0.2,5
434,intermediate,Bottoms Up,abdominals,29,-0.25,5
435,intermediate,Suspended ab fall-out,abdominals,1,0.05,1
436,intermediate,Suspended ab fall-out,abdominals,2,0.1,1
437,intermediate,Suspended ab fall-out,abdominals,3,0.15,1
438,intermediate,Suspended ab fall-out,abdominals,4,0.2,1
439,intermediate,Suspended ab fall-out,abdominals,5,0.25,1
440,intermediate,Suspended ab fall-out,abdominals,6,0.3,1
441,intermediate,Suspended ab fall-out,abdominals,7,0.35,1
442,intermediate,Suspended ab fall-out,abdominals,8,0.4,1
443,intermediate,Suspended ab fall-out,abdominals,9,0.45,1
444,intermediate,Suspended ab fall-out,abdominals,10,0.5,1
445,intermediate,Suspended ab fall-out,abdominals,11,0.55,1
446,intermediate,Suspended ab fall-out,abdominals,12,0.6,1
447,intermediate,Suspended ab fall-out,abdominals,13,0.55,1
448,intermediate,Suspended ab fall-out,abdominals,14,0.5,1
449,intermediate,Suspended ab fall-out,abdominals,15,0.45,1
450,intermediate,Suspended ab fall-out,abdominals,16,0.4,1
451,intermediate,Suspended ab fall-out,abdominals,17,0.35,1
452,intermediate,Suspended ab fall-out,abdominals,18,0.3,1
453,intermediate,Suspended ab fall-out,abdominals,19,0.25,1
454,intermediate,Suspended ab fall-out,abdominals,20,0.2,1
455,intermediate,Suspended ab fall-out,abdominals,21,0.15,1
456,intermediate,Suspended ab fall-out,abdominals,22,0.1,1
457,intermediate,Suspended ab fall-out,abdominals,23,0.05,1
458,intermediate,Suspended ab fall-out,abdominals,24,0,1
459,intermediate,Suspended ab fall-out,abdominals,25,-0.05,1
460,intermediate,Suspended ab fall-out,abdominals,26,-0.1,1
461,intermediate,Suspended ab fall-out,abdominals,27,-0.15,1
462,intermediate,Suspended ab fall-out,abdominals,28,-0.2,1
463,intermediate,Suspended ab fall-out,abdominals,29,-0.25,1
464,intermediate,Suspended ab fall-out,abdominals,1,0.25,2
465,intermediate,Suspended ab fall-out,abdominals,2,0.3,2
466,intermediate,Suspended ab fall-out,abdominals,3,0.35,2
467,intermediate,Suspended ab fall-out,abdominals,4,0.4,2
468,intermediate,Suspended ab fall-out,abdominals,5,0.45,2
469,intermediate,Suspended ab fall-out,abdominals,6,0.5,2
470,intermediate,Suspended ab fall-out,abdominals,7,0.55,2
471,intermediate,Suspended ab fall-out,abdominals,8,0.6,2
472,intermediate,Suspended ab fall-out,abdominals,9,0.65,2
473,intermediate,Suspended ab fall-out,abdominals,10,0.7,2
474,intermediate,Suspended ab fall-out,abdominals,11,0.75,2
475,intermediate,Suspended ab fall-out,abdominals,12,0.8,2
476,intermediate,Suspended ab fall-out,abdominals,13,0.75,2
477,intermediate,Suspended ab fall-out,abdominals,14,0.7,2
478,intermediate,Suspended ab fall-out,abdominals,15,0.65,2
479,intermediate,Suspended ab fall-out,abdominals,16,0.6,2
480,intermediate,Suspended ab fall-out,abdominals,17,0.55,2
481,intermediate,Suspended ab fall-out,abdominals,18,0.5,2
482,intermediate,Suspended ab fall-out,abdominals,19,0.45,2
483,intermediate,Suspended ab fall-out,abdominals,20,0.4,2
484,intermediate,Suspended ab fall-out,abdominals,21,0.35,2
485,intermediate,Suspended ab fall-out,abdominals,22,0.3,2
486,intermediate,Suspended ab fall-out,abdominals,23,0.25,2
487,intermediate,Suspended ab fall-out,abdominals,24,0.2,2
488,intermediate,Suspended ab fall-out,abdominals,25,0.15,2
489,intermediate,Suspended ab fall-out,abdominals,26,0.1,2
490,intermediate,Suspended ab fall-out,abdominals,27,0.05,2
491,intermediate,Suspended ab fall-out,abdominals,28,-5.55E-17,2
492,intermediate,Suspended ab fall-out,abdominals,29,-0.05,2
493,intermediate,Suspended ab fall-out,abdominals,1,0.45,3
494,intermediate,Suspended ab fall-out,abdominals,2,0.5,3
495,intermediate,Suspended ab fall-out,abdominals,3,0.55,3
496,intermediate,Suspended ab fall-out,abdominals,4,0.6,3
497,intermediate,Suspended ab fall-out,abdominals,5,0.65,3
498,intermediate,Suspended ab fall-out,abdominals,6,0.7,3
